genre,model,score,imp_n_artists,imp_duration_ms,imp_explicit,imp_key,imp_tempo,imp_valence,imp_danceability,imp_energy,imp_loudness,imp_speechiness,imp_acousticness,imp_instrumentalness,imp_liveness
sleep,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.5357404406343333,0.2578256229833565,0.04008452316786141,0.0,0.0,0.00968167200226734,0.25558637946686696,0.06509983327328873,0.05802229227101916,0.18638709079169685,0.047681344731999545,0.07616583528090669,0.0033069259630648194,0.00015848006767208879
classical,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.41426475385442063,0.49815630206440764,0.039337675667357935,0.0,0.007082145124416845,0.021123469609060735,0.0008864443819483441,0.03230061511106951,0.06857975718457059,0.1331470434335021,0.049778036633536464,0.05642019235672115,0.05864036637352505,0.03454795205988349
j-pop,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.2851932934754904,0.007888312034193282,0.12291287794937905,0.0,0.0,0.06275479766851932,0.03156670621281819,0.17247182017720006,0.3882503604329926,0.02022224420908228,0.028463754068726983,0.018735205947737983,0.0771511621338867,0.06958275916546361
hip-hop,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.28061869411649687,0.037859840994225916,0.037502560323046726,0.06597756208412074,0.0014764929557322102,0.0,0.0945820681998959,0.2087677421537887,0.033005606209599025,0.15118214369709754,0.05339980414181748,0.2662056814448088,0.013211342179547824,0.03682915561631897
k-pop,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.24540492262144942,0.03256489764459794,0.11117338658745204,0.3691433653239154,0.011143315933696748,0.004879497479109223,0.15110762038278408,0.0055287128031443755,0.0,0.20772675794148263,0.040187715327870674,0.013303130993797693,0.04819294980753245,0.005048649774616687
r-n-b,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.2305265588153803,0.0,0.10267205313164612,0.03462076026796425,0.06517932523253678,0.0,0.07414666559246925,0.0,0.07313312089177217,0.10224265425486424,0.17498062120799507,0.2929595578139197,0.043457742339598135,0.036607499267234236
blues,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.20975675627373347,0.0,0.04106606126266295,0.0,0.0042543544424625485,0.06959208739973458,0.185966031498499,0.0231259760961649,0.033578985934319336,0.10114991564277975,0.07310953031781132,0.32581371774604295,0.08479432409685343,0.05754901556266929
piano,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.1562925010067815,0.02300102338081748,0.09202820356665387,0.0,0.005376480036656676,0.27877532584780385,0.053233394784080366,0.04750147579216945,0.007012671935359739,0.16640607755471082,0.11630451034952757,0.0784781498719733,0.04358369893349991,0.08829898794674702
comedy,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.15008614611418547,0.0,0.0935296442276074,0.09617507831013172,0.010436846895890238,0.010027753533024986,0.049764838142376706,0.1487243133729572,0.05141212113369047,0.1366874680260748,0.0041217982229864985,0.3725185821312075,0.0,0.026601556004052618
psych-rock,"DecisionTreeRegressor(max_depth=8, min_samples_split=20, random_state=42)",0.136189081424129,0.0,0.026286559565632833,0.0,0.03390801244687843,0.038077258069614824,0.31205411586899306,0.010049315219381636,0.1308901022914552,0.15726986575080404,0.09209193871554176,0.08044816553903418,0.053483696358368214,0.0654409701742956
