cluster,track_name,track_genre,popularity
0,Symphony Menuju Akhir,death-metal,22
0,Disconnect Me,death-metal,23
0,Outnumbered,death-metal,24
0,Mosha,death-metal,25
0,Only the Strong,death-metal,23
0,Angry Mob Justice,death-metal,23
0,United Front,death-metal,24
0,"Brasileiro, Otário e Triste",death-metal,24
0,Trollhammaren,death-metal,24
0,Rid You of Your Flesh,death-metal,23
0,Giving,death-metal,22
0,Inherent Youth,death-metal,23
0,Unbreakable,death-metal,22
0,Bloodstained Cement,death-metal,22
0,Open Eyes,death-metal,24
0,Defect,death-metal,23
0,Never Homesick,death-metal,23
0,Primer Meco,death-metal,22
0,Sabotage,death-metal,23
0,Vacío Abismal,death-metal,24
0,Antman,death-metal,23
0,Membunuh Atau Terbunuh,death-metal,24
0,No Idols,death-metal,25
0,Into Moshpit,death-metal,24
0,Eating from a Coffin,death-metal,24
0,Caso Isolado,death-metal,25
0,Empire of Pines,death-metal,23
0,House of Mirrors,death-metal,48
0,The Black Sheep,death-metal,49
0,Slowly We Rot,death-metal,47
0,Metal Malóka,death-metal,25
0,Low Life,death-metal,24
0,The Key to Keeping the Show Fresh Is... I'm Dead,death-metal,24
0,Stabbed in the Throat,death-metal,23
0,Spawn of Pure Malevolence,death-metal,23
0,As One We Survive,death-metal,23
0,Looking Glass,death-metal,51
0,Joel (The Watchman),death-metal,23
0,Human Chandelier,death-metal,22
0,Daybreak,death-metal,22
0,Between the Lines - Live,death-metal,22
0,Under Black Sails,death-metal,20
0,Out of the Body,death-metal,21
0,From the Past Comes the Storms,death-metal,22
0,Attitude - Live,death-metal,22
0,Pull the Trigger,death-metal,21
0,Menyangkal Sangkakala,death-metal,22
0,Hearts of Darkness,death-metal,22
0,Triskhelion,death-metal,20
0,The Grey Man,death-metal,21
0,Follow the Crossed Line,death-metal,21
0,My Heart Bleeds No Longer,death-metal,21
0,308,death-metal,22
0,Where Dragons Dwell,death-metal,46
0,The Prosecution,death-metal,21
0,Pau no Cu do Capitalismo em Posições Obscenas / Sou o Mesmo Fxdxp,death-metal,23
0,Caught in the System,death-metal,21
0,Lie to Purify,death-metal,22
0,Screams Turn to Silence,death-metal,22
0,Sweet Relief,death-metal,22
0,Castigo Del Brujo,death-metal,21
0,Stalingrad,death-metal,22
0,The Three-Dimensional Shadow,death-metal,23
0,The End,death-metal,22
0,Sweet Vampirous,death-metal,22
0,Suffer to Death,death-metal,22
0,Ángel Enfermo,death-metal,23
0,Stabwound,death-metal,42
0,Holy War,death-metal,50
0,Lotus,death-metal,47
0,Fading Sun - Live,death-metal,22
0,Burn It All Down,death-metal,21
0,The Sentient,death-metal,21
